year,Community Board,Borough,Complaint Type,cnt
2010,0 Unspecified,Unspecified,HEATING,8568
2010,0 Unspecified,Unspecified,GENERAL CONSTRUCTION,5332
2010,0 Unspecified,Unspecified,PLUMBING,4536
2010,0 Unspecified,Unspecified,PAINT - PLASTER,3854
2010,0 Unspecified,Unspecified,NONCONST,2881
2010,0 Unspecified,Unspecified,ELECTRIC,1623
2010,0 Unspecified,Unspecified,APPLIANCE,612
2010,0 Unspecified,Unspecified,DOF Parking - Payment Issue,536
2010,0 Unspecified,Unspecified,HPD Literature Request,305
2010,0 Unspecified,Unspecified,DCA / DOH New License Application Request,253
2010,01 BRONX,BRONX,Noise - Residential,78
2010,01 BRONX,BRONX,Water System,31
2010,01 BRONX,BRONX,DHS Advantage - Tenant,28
2010,01 BRONX,BRONX,General Construction/Plumbing,21
2010,01 BRONX,BRONX,Consumer Complaint,12
2010,01 BRONX,BRONX,DHS Advantage -Landlord/Broker,11
2010,01 BRONX,BRONX,Sewer,10
2010,01 BRONX,BRONX,Blocked Driveway,10
2010,01 BRONX,BRONX,Dirty Conditions,10
2010,01 BRONX,BRONX,Rodent,8
2010,01 BROOKLYN,BROOKLYN,Noise - Residential,87
2010,01 BROOKLYN,BROOKLYN,Noise - Commercial,69
2010,01 BROOKLYN,BROOKLYN,Street Light Condition,62
2010,01 BROOKLYN,BROOKLYN,Graffiti,45
2010,01 BROOKLYN,BROOKLYN,Water System,44
2010,01 BROOKLYN,BROOKLYN,Street Condition,42
2010,01 BROOKLYN,BROOKLYN,Sanitation Condition,37
2010,01 BROOKLYN,BROOKLYN,General Construction/Plumbing,35
2010,01 BROOKLYN,BROOKLYN,Noise,34
2010,01 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,31
2010,01 MANHATTAN,MANHATTAN,Noise,51
2010,01 MANHATTAN,MANHATTAN,Taxi Complaint,43
2010,01 MANHATTAN,MANHATTAN,Street Condition,36
2010,01 MANHATTAN,MANHATTAN,Broken Muni Meter,29
2010,01 MANHATTAN,MANHATTAN,General Construction/Plumbing,28
2010,01 MANHATTAN,MANHATTAN,Street Light Condition,28
2010,01 MANHATTAN,MANHATTAN,Traffic Signal Condition,27
2010,01 MANHATTAN,MANHATTAN,Noise - Commercial,20
2010,01 MANHATTAN,MANHATTAN,Street Sign - Damaged,13
2010,01 MANHATTAN,MANHATTAN,Water System,13
2010,01 QUEENS,QUEENS,Noise - Residential,81
2010,01 QUEENS,QUEENS,Blocked Driveway,71
2010,01 QUEENS,QUEENS,Street Light Condition,69
2010,01 QUEENS,QUEENS,Water System,46
2010,01 QUEENS,QUEENS,Sewer,39
2010,01 QUEENS,QUEENS,Noise - Commercial,35
2010,01 QUEENS,QUEENS,Traffic Signal Condition,34
2010,01 QUEENS,QUEENS,Graffiti,34
2010,01 QUEENS,QUEENS,Noise,33
2010,01 QUEENS,QUEENS,Dirty Conditions,29
2010,01 STATEN ISLAND,STATEN ISLAND,Noise - Residential,106
2010,01 STATEN ISLAND,STATEN ISLAND,Street Light Condition,101
2010,01 STATEN ISLAND,STATEN ISLAND,Water System,76
2010,01 STATEN ISLAND,STATEN ISLAND,Sewer,63
2010,01 STATEN ISLAND,STATEN ISLAND,DHS Advantage - Tenant,59
2010,01 STATEN ISLAND,STATEN ISLAND,DHS Advantage -Landlord/Broker,52
2010,01 STATEN ISLAND,STATEN ISLAND,Damaged Tree,51
2010,01 STATEN ISLAND,STATEN ISLAND,Street Condition,50
2010,01 STATEN ISLAND,STATEN ISLAND,Building/Use,41
2010,01 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),36
2010,02 BRONX,BRONX,Noise - Residential,53
2010,02 BRONX,BRONX,Water System,35
2010,02 BRONX,BRONX,DHS Advantage - Tenant,26
2010,02 BRONX,BRONX,Street Light Condition,21
2010,02 BRONX,BRONX,Graffiti,19
2010,02 BRONX,BRONX,Dirty Conditions,9
2010,02 BRONX,BRONX,Rodent,9
2010,02 BRONX,BRONX,Traffic Signal Condition,8
2010,02 BRONX,BRONX,Sewer,7
2010,02 BRONX,BRONX,General Construction/Plumbing,6
2010,02 BROOKLYN,BROOKLYN,Noise - Residential,83
2010,02 BROOKLYN,BROOKLYN,Street Light Condition,49
2010,02 BROOKLYN,BROOKLYN,Traffic Signal Condition,48
2010,02 BROOKLYN,BROOKLYN,Noise,32
2010,02 BROOKLYN,BROOKLYN,Street Condition,30
2010,02 BROOKLYN,BROOKLYN,Blocked Driveway,26
2010,02 BROOKLYN,BROOKLYN,Taxi Complaint,23
2010,02 BROOKLYN,BROOKLYN,General Construction/Plumbing,22
2010,02 BROOKLYN,BROOKLYN,Damaged Tree,20
2010,02 BROOKLYN,BROOKLYN,Water System,19
2010,02 MANHATTAN,MANHATTAN,Taxi Complaint,71
2010,02 MANHATTAN,MANHATTAN,Street Condition,65
2010,02 MANHATTAN,MANHATTAN,Noise - Commercial,55
2010,02 MANHATTAN,MANHATTAN,Noise,54
2010,02 MANHATTAN,MANHATTAN,Broken Muni Meter,54
2010,02 MANHATTAN,MANHATTAN,General Construction/Plumbing,46
2010,02 MANHATTAN,MANHATTAN,Noise - Residential,45
2010,02 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,32
2010,02 MANHATTAN,MANHATTAN,Water System,28
2010,02 MANHATTAN,MANHATTAN,Vending,26
2010,02 QUEENS,QUEENS,Street Light Condition,68
