Community Board,Borough,Complaint Type,cnt
0 Unspecified,Unspecified,HEATING,11296
0 Unspecified,Unspecified,GENERAL CONSTRUCTION,6290
0 Unspecified,Unspecified,PLUMBING,5380
0 Unspecified,Unspecified,Benefit Card Replacement,4527
0 Unspecified,Unspecified,PAINT - PLASTER,4502
0 Unspecified,Unspecified,NONCONST,3303
0 Unspecified,Unspecified,DOF Parking - Payment Issue,2841
0 Unspecified,Unspecified,HPD Literature Request,2187
0 Unspecified,Unspecified,ELECTRIC,1876
0 Unspecified,Unspecified,DCA / DOH New License Application Request,1076
01 BRONX,BRONX,Noise - Residential,1437
01 BRONX,BRONX,HEAT/HOT WATER,840
01 BRONX,BRONX,Noise - Street/Sidewalk,362
01 BRONX,BRONX,HEATING,336
01 BRONX,BRONX,PLUMBING,335
01 BRONX,BRONX,UNSANITARY CONDITION,334
01 BRONX,BRONX,Water System,288
01 BRONX,BRONX,Blocked Driveway,261
01 BRONX,BRONX,Illegal Parking,254
01 BRONX,BRONX,Street Condition,250
01 BROOKLYN,BROOKLYN,Noise - Residential,2168
01 BROOKLYN,BROOKLYN,Noise - Commercial,1183
01 BROOKLYN,BROOKLYN,Illegal Parking,1175
01 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,1026
01 BROOKLYN,BROOKLYN,Noise,851
01 BROOKLYN,BROOKLYN,HEAT/HOT WATER,804
01 BROOKLYN,BROOKLYN,Blocked Driveway,780
01 BROOKLYN,BROOKLYN,Street Condition,709
01 BROOKLYN,BROOKLYN,Water System,641
01 BROOKLYN,BROOKLYN,General Construction/Plumbing,524
01 MANHATTAN,MANHATTAN,Noise,916
01 MANHATTAN,MANHATTAN,Illegal Parking,553
01 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,434
01 MANHATTAN,MANHATTAN,Street Condition,355
01 MANHATTAN,MANHATTAN,Noise - Residential,327
01 MANHATTAN,MANHATTAN,Taxi Complaint,297
01 MANHATTAN,MANHATTAN,Noise - Commercial,288
01 MANHATTAN,MANHATTAN,Homeless Person Assistance,259
01 MANHATTAN,MANHATTAN,Broken Muni Meter,244
01 MANHATTAN,MANHATTAN,Vending,212
01 QUEENS,BRONX,Street Condition,1
01 QUEENS,BRONX,Food Establishment,1
01 QUEENS,BRONX,Non-Emergency Police Matter,1
01 QUEENS,BRONX,NonCompliance with Phased Reopening,1
01 QUEENS,QUEENS,Noise - Residential,1752
01 QUEENS,QUEENS,Blocked Driveway,1679
01 QUEENS,QUEENS,Illegal Parking,1411
01 QUEENS,QUEENS,Noise - Commercial,868
01 QUEENS,QUEENS,HEAT/HOT WATER,722
01 QUEENS,QUEENS,Street Condition,671
01 QUEENS,QUEENS,Street Light Condition,589
01 QUEENS,QUEENS,Noise,538
01 QUEENS,QUEENS,Water System,520
01 QUEENS,QUEENS,Noise - Street/Sidewalk,407
01 STATEN ISLAND,STATEN ISLAND,Noise - Residential,1796
01 STATEN ISLAND,STATEN ISLAND,Street Condition,996
01 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),936
01 STATEN ISLAND,STATEN ISLAND,Water System,901
01 STATEN ISLAND,STATEN ISLAND,Street Light Condition,877
01 STATEN ISLAND,STATEN ISLAND,Illegal Parking,872
01 STATEN ISLAND,STATEN ISLAND,Sewer,683
01 STATEN ISLAND,STATEN ISLAND,Blocked Driveway,665
01 STATEN ISLAND,STATEN ISLAND,Damaged Tree,494
01 STATEN ISLAND,STATEN ISLAND,Derelict Vehicle,448
02 BRONX,BRONX,Noise - Residential,738
