provider_type,state,total_patients,medical_payment
Chiropractic,ND,23,0
Physical Therapist in Private Practice,NY,11,0
Audiologist,NY,16,0
Physical Therapist in Private Practice,WA,17,0
Family Practice,CA,16,0
Physical Therapist in Private Practice,NY,11,0
Chiropractic,NM,41,0
Hospitalist,CA,86,24109.29
Anesthesiology,MT,223,43294.09
Nurse Practitioner,PA,11,647.45
Podiatry,TX,187,43423.99
Certified Registered Nurse Anesthetist (CRNA),AL,464,26963.05
Family Practice,NC,88,
Endocrinology,FL,1735,254941.67
Physical Therapist in Private Practice,WA,25,28524.71
Physician Assistant,IN,45,5248.75
Dermatology,CO,930,461544.26
Orthopedic Surgery,MI,311,115202.28
Interventional Radiology,OK,591,56598.61
Physician Assistant,FL,150,28141.89
Nurse Practitioner,GA,43,3413.12
Otolaryngology,FL,637,204825.55
Obstetrics & Gynecology,UT,28,5159.51
Dermatology,PA,411,46657.48
Physical Therapist in Private Practice,NY,19,9746.62
General Surgery,TX,53,20555.75
Hematology,PA,50,2495.89
Certified Registered Nurse Anesthetist (CRNA),TX,99,10029.15
Physician Assistant,NY,62,7138.67
Emergency Medicine,CA,104,15582.9
General Surgery,LA,21,3821.28
Otolaryngology,NY,446,435999.05
Family Practice,MO,75,7943.55
Neurology,NY,112,62854.59
Physician Assistant,GA,237,26213.61
Physical Therapist in Private Practice,VA,19,66020.28
Hematology-Oncology,NY,123,46898.89
Nurse Practitioner,IN,67,12559.34
Hospitalist,UT,127,43998.67
Nurse Practitioner,TX,198,23435.39
Pulmonary Disease,IL,221,183677.1
Ophthalmology,MA,359,79704.84
Dermatology,SC,537,489209.23
Physical Therapist in Private Practice,NV,57,31326.34
Allergy/ Immunology,FL,156,
Nurse Practitioner,SC,55,
Family Practice,KY,198,
Physician Assistant,MN,79,8387.58
Internal Medicine,FL,115,
Diagnostic Radiology,CA,992,22081.81
Physician Assistant,TN,295,32235.8
Nurse Practitioner,MD,82,7481.61
Nurse Practitioner,PA,38,22989.17
Neurology,PA,39,12426.24
Physical Therapist in Private Practice,IL,89,95573.15
Nurse Practitioner,NE,53,
Nurse Practitioner,TX,19,3061.89
Physical Therapist in Private Practice,AL,56,19746.07
Internal Medicine,CA,128,34054.47
Nurse Practitioner,NY,105,16739.29
Cardiology,NV,1360,266730.55
Cardiology,IN,336,40334.38
Rheumatology,IN,616,80518.27
Family Practice,OK,292,28207.63
Endocrinology,PA,283,
"Psychologist, Clinical",DC,19,42732.86
Physician Assistant,MN,118,
Physical Therapist in Private Practice,IL,11,18789.51
General Surgery,OR,129,
Physician Assistant,TX,405,59855.24
Certified Registered Nurse Anesthetist (CRNA),TN,47,4433.91
Nurse Practitioner,TX,180,16936.54
Internal Medicine,OH,290,51832.85
Chiropractic,IA,223,28568.74
Physical Therapist in Private Practice,CA,52,27255.78
General Surgery,TN,267,77927.71
Physician Assistant,MN,180,11964.23
Neurology,VA,149,24164.38
Critical Care (Intensivists),CO,227,42545.67
Endocrinology,NY,538,129164.92
Nurse Practitioner,VA,264,78784.24
Internal Medicine,NY,26,3803.19
Internal Medicine,MI,110,28687.22
Nurse Practitioner,IA,100,22126.25
Psychiatry,NY,21,2153.55
Obstetrics & Gynecology,WI,56,5306.52
Certified Registered Nurse Anesthetist (CRNA),MI,26,4635.68
Hospice and Palliative Care,ID,115,32304.2
Physician Assistant,CT,35,
Diagnostic Radiology,CA,133,4739.18
Nurse Practitioner,IL,445,
Audiologist,OH,258,9307.86
Chiropractic,VA,73,17595.55
Physical Therapist in Private Practice,MN,159,42530.87
Obstetrics & Gynecology,CA,208,24932.93
Psychiatry,OH,61,4673.39
Nurse Practitioner,CA,118,17395.76
Licensed Clinical Social Worker,VA,12,11026.85
Optometry,IN,329,32256.9
Physical Therapist in Private Practice,PA,189,268975.83
Orthopedic Surgery,FL,237,
Cardiology,TX,584,124680.7
Hospice and Palliative Care,MI,32,5536.9
Pulmonary Disease,MD,569,108115.3
Optometry,MO,31,2658.94
Cardiology,CA,850,186498.09
Physical Therapist in Private Practice,NC,33,18787.32
Hospitalist,NY,75,9265.23
Nurse Practitioner,KS,504,
Certified Nurse Midwife,MD,14,2559.48
Physical Therapist in Private Practice,GA,24,3419.36
Occupational Therapist in Private Practice,IL,21,51345.98
Physician Assistant,CA,162,
Emergency Medicine,CA,676,112122.02
Sports Medicine,MN,100,14524.21
Ophthalmology,MI,173,46497.1
Emergency Medicine,NY,462,
Physician Assistant,PA,268,15043.5
Internal Medicine,PA,295,51547.26
Physician Assistant,NJ,61,4912.3
"Psychologist, Clinical",MN,26,5009.54
Audiologist,NC,196,10483.74
Nurse Practitioner,NC,222,61936.81
Chiropractic,TX,17,1704.55
Chiropractic,TX,60,7381.17
Physician Assistant,AL,46,5063.21
Emergency Medicine,IL,237,32972.54
Optometry,OK,58,5536.65
Nurse Practitioner,WI,49,4855.28
Nurse Practitioner,VA,13,857.54
Family Practice,PA,211,36505.63
Certified Registered Nurse Anesthetist (CRNA),MD,62,8258.8
Family Practice,MI,109,23248.14
Nephrology,NY,869,
Nurse Practitioner,IL,129,24232.04
Nurse Practitioner,WI,163,16869.82
Internal Medicine,CT,83,14711.03
Dermatology,MO,87,
Family Practice,PA,170,25028.15
Nephrology,VA,437,123283.17
Family Practice,TX,11,
Occupational Therapist in Private Practice,CA,51,62461.75
"Psychologist, Clinical",ID,14,7845.6
Family Practice,MN,254,67955.42
Family Practice,ME,38,
Anesthesiology,AZ,204,47584.8
Family Practice,LA,350,
Physician Assistant,GA,44,
Family Practice,FL,172,
Nurse Practitioner,NY,41,1947.6
Medical Toxicology,NY,533,81711.4
Nurse Practitioner,IN,80,5904.54
Vascular Surgery,MI,21,42904.93
Internal Medicine,FL,116,46816.22
Undersea and Hyperbaric Medicine,OK,62,27255.76
Anesthesiology,WA,91,20883.3
Emergency Medicine,MI,199,26102.92
Nurse Practitioner,CA,134,34767.71
Orthopedic Surgery,CO,102,
Licensed Clinical Social Worker,CO,32,95658.6
Internal Medicine,WA,226,60466.36
Podiatry,CA,347,58035.13
Chiropractic,IL,72,15895.4
Nephrology,NV,567,
Internal Medicine,MD,399,122701.56
Internal Medicine,MI,169,32796.64
Emergency Medicine,TX,80,9762.31
Chiropractic,MI,44,11257.61
Physician Assistant,PA,45,4215.51
Physician Assistant,IA,120,8120.6
Nurse Practitioner,IN,150,11281.33
Physical Therapist in Private Practice,UT,67,32598.13
Nurse Practitioner,NV,93,9022.78
Family Practice,OH,124,25203.63
Internal Medicine,WA,352,106410.85
Internal Medicine,NY,122,53282.25
Certified Registered Nurse Anesthetist (CRNA),SD,171,11860.16
Licensed Clinical Social Worker,NC,20,22566.17
General Surgery,CA,174,39087.76
Physical Therapist in Private Practice,CT,13,3098.86
Anesthesiology,CA,230,81541.31
Anesthesiology,WA,105,22911.5
General Surgery,CA,47,57632.07
Physician Assistant,NC,58,4930.04
Emergency Medicine,PA,1450,198353.45
Certified Registered Nurse Anesthetist (CRNA),TN,216,27601.6
Internal Medicine,OK,342,48155.17
Urology,TX,986,316930.24
Physical Therapist in Private Practice,NC,18,11184.01
Physical Medicine and Rehabilitation,MD,348,80830.85
Physician Assistant,WI,43,2590.53
General Practice,NY,61,8924.41
Hospitalist,AL,290,87737.84
Family Practice,PA,323,105113.41
Urology,OH,523,106670.98
Rheumatology,NC,55,54382.44
Nurse Practitioner,ND,164,13080.11
Certified Registered Nurse Anesthetist (CRNA),IL,153,15691.2
Family Practice,TX,250,41467.68
Gynecological Oncology,AZ,187,92399.61
Physical Therapist in Private Practice,NY,134,189260.9
Certified Registered Nurse Anesthetist (CRNA),TN,87,9637.6
Nurse Practitioner,MA,278,94829.33
Cardiology,TX,338,563745.51
Nurse Practitioner,NM,163,50188.43
Optometry,IN,504,48829.35
Certified Registered Nurse Anesthetist (CRNA),OH,470,52777.98
Internal Medicine,CA,11,3176.52
Hematology-Oncology,CA,231,75432.35
Emergency Medicine,PA,294,35635.88
Family Practice,RI,295,
Hospitalist,KY,270,62151.3
Optometry,OK,538,75621.68
Internal Medicine,MN,170,28207.55
"Psychologist, Clinical",IL,18,20944.23
Physician Assistant,NY,209,
Gastroenterology,LA,309,65755.34
Physical Therapist in Private Practice,OK,70,55608.67
Physician Assistant,NC,89,
Ophthalmology,NY,331,142217.8
Certified Registered Nurse Anesthetist (CRNA),OH,163,25831.69
Physical Therapist in Private Practice,VT,47,21580.93
Thoracic Surgery,MD,132,72808.18
Nurse Practitioner,GA,23,2001.21
Nurse Practitioner,GA,201,18477.5
Nurse Practitioner,PA,231,169638.93
Certified Registered Nurse Anesthetist (CRNA),IL,86,9992.63
Plastic and Reconstructive Surgery,GA,41,24636.53
Physical Therapist in Private Practice,MI,58,26921.11
Hospitalist,NE,292,36644.1
Emergency Medicine,GA,398,55079.24
Cardiology,TX,906,1240365.15
Nurse Practitioner,WA,159,38439.96
