district,population,request_type,response_hours
Riverside,240000,Noise,13.7
Riverside,240000,Pothole,18.4
Riverside,240000,Noise,8.6
Riverside,240000,Graffiti,25.1
Riverside,240000,Noise,11.7
Riverside,240000,Water leak,37.7
Riverside,240000,Water leak,12.9
Riverside,240000,Illegal dumping,7.3
Riverside,240000,Pothole,19.7
Riverside,240000,Pothole,18.6
Riverside,240000,Water leak,11.2
Riverside,240000,Water leak,14.1
Riverside,240000,Noise,14.7
Riverside,240000,Illegal dumping,13.6
Riverside,240000,Streetlight out,23.8
Riverside,240000,Water leak,13.0
Riverside,240000,Pothole,12.0
Riverside,240000,Pothole,31.5
Riverside,240000,Water leak,16.1
Riverside,240000,Pothole,4.3
Riverside,240000,Pothole,15.0
Riverside,240000,Graffiti,15.5
Riverside,240000,Pothole,80.1
Riverside,240000,Pothole,17.2
Riverside,240000,Streetlight out,48.2
Riverside,240000,Streetlight out,22.4
Riverside,240000,Illegal dumping,23.6
Riverside,240000,Water leak,13.5
Riverside,240000,Graffiti,34.8
Riverside,240000,Streetlight out,11.2
Riverside,240000,Illegal dumping,8.6
Riverside,240000,Noise,33.0
Riverside,240000,Noise,10.4
Riverside,240000,Streetlight out,22.6
Riverside,240000,Pothole,22.6
Riverside,240000,Graffiti,23.4
Riverside,240000,Streetlight out,10.5
Riverside,240000,Pothole,16.2
Riverside,240000,Water leak,51.7
Riverside,240000,Graffiti,14.9
Riverside,240000,Graffiti,16.8
Riverside,240000,Graffiti,15.9
Riverside,240000,Graffiti,13.5
Riverside,240000,Illegal dumping,18.2
Riverside,240000,Noise,13.0
Riverside,240000,Water leak,10.1
Riverside,240000,Water leak,8.2
Riverside,240000,Streetlight out,49.6
Riverside,240000,Graffiti,5.4
Riverside,240000,Illegal dumping,54.2
Riverside,240000,Water leak,11.7
Riverside,240000,Graffiti,7.9
Riverside,240000,Graffiti,28.9
Riverside,240000,Water leak,76.6
Riverside,240000,Pothole,26.8
Riverside,240000,Water leak,13.4
Riverside,240000,Streetlight out,18.2
Riverside,240000,Water leak,32.2
Riverside,240000,Illegal dumping,21.9
Riverside,240000,Noise,8.0
Riverside,240000,Water leak,11.9
Riverside,240000,Noise,8.1
Riverside,240000,Illegal dumping,8.8
Riverside,240000,Streetlight out,24.7
Riverside,240000,Noise,17.6
Riverside,240000,Illegal dumping,63.4
Riverside,240000,Water leak,25.3
Riverside,240000,Illegal dumping,28.3
Riverside,240000,Pothole,5.4
Riverside,240000,Noise,89.2
Riverside,240000,Streetlight out,15.3
Riverside,240000,Water leak,29.6
Riverside,240000,Graffiti,28.0
Riverside,240000,Pothole,37.8
Riverside,240000,Water leak,16.6
Riverside,240000,Pothole,7.8
Riverside,240000,Pothole,28.3
Riverside,240000,Graffiti,8.0
Riverside,240000,Noise,16.3
Riverside,240000,Water leak,39.7
Riverside,240000,Streetlight out,30.0
Riverside,240000,Noise,13.2
Riverside,240000,Graffiti,14.8
Riverside,240000,Streetlight out,28.3
Riverside,240000,Water leak,18.9
Riverside,240000,Noise,13.4
Riverside,240000,Water leak,18.3
Riverside,240000,Water leak,15.8
Riverside,240000,Pothole,16.4
Riverside,240000,Graffiti,35.2
Riverside,240000,Graffiti,32.3
Riverside,240000,Noise,14.2
Riverside,240000,Noise,15.9
Riverside,240000,Pothole,25.8
Riverside,240000,Water leak,49.6
Riverside,240000,Water leak,14.3
Riverside,240000,Illegal dumping,26.3
Riverside,240000,Illegal dumping,45.1
Riverside,240000,Pothole,14.3
Riverside,240000,Pothole,18.4
Riverside,240000,Pothole,29.9
Riverside,240000,Water leak,26.6
Riverside,240000,Streetlight out,16.2
Riverside,240000,Pothole,14.9
Riverside,240000,Water leak,19.1
Riverside,240000,Noise,38.0
Riverside,240000,Water leak,11.5
Riverside,240000,Noise,70.2
Riverside,240000,Pothole,30.6
Riverside,240000,Noise,30.5
Riverside,240000,Streetlight out,36.0
Riverside,240000,Pothole,8.0
Riverside,240000,Illegal dumping,15.2
Riverside,240000,Graffiti,9.5
Riverside,240000,Noise,19.9
Riverside,240000,Graffiti,14.7
Riverside,240000,Illegal dumping,14.8
Riverside,240000,Illegal dumping,7.9
Riverside,240000,Streetlight out,20.7
Riverside,240000,Noise,28.4
Riverside,240000,Noise,25.4
Riverside,240000,Illegal dumping,15.8
Riverside,240000,Graffiti,38.8
Riverside,240000,Pothole,14.3
Riverside,240000,Noise,13.1
Riverside,240000,Noise,17.1
Riverside,240000,Streetlight out,19.7
Riverside,240000,Graffiti,26.4
Riverside,240000,Noise,6.0
Riverside,240000,Illegal dumping,7.6
Riverside,240000,Graffiti,10.6
Riverside,240000,Streetlight out,47.7
Riverside,240000,Water leak,6.1
Riverside,240000,Noise,19.2
Riverside,240000,Water leak,27.0
Riverside,240000,Pothole,14.0
Riverside,240000,Illegal dumping,17.1
Riverside,240000,Pothole,14.7
Riverside,240000,Water leak,43.7
Riverside,240000,Illegal dumping,34.4
Riverside,240000,Noise,6.7
Riverside,240000,Streetlight out,17.7
Riverside,240000,Noise,39.1
Riverside,240000,Water leak,16.9
Riverside,240000,Noise,9.9
Riverside,240000,Pothole,17.7
Riverside,240000,Graffiti,11.2
Riverside,240000,Water leak,16.5
Riverside,240000,Graffiti,18.7
Riverside,240000,Water leak,10.0
Riverside,240000,Pothole,24.1
Riverside,240000,Noise,4.6
Riverside,240000,Noise,33.9
Riverside,240000,Streetlight out,29.7
Riverside,240000,Graffiti,19.2
Riverside,240000,Graffiti,11.1
Riverside,240000,Water leak,22.8
Riverside,240000,Water leak,20.4
Riverside,240000,Noise,18.6
Riverside,240000,Graffiti,20.9
