"maprojid","magencyacro","magencyname","typecategory","totalplannedcommit","commit_total","spent_total"
"038LBCENPH3","BPL","Brooklyn Public Library",,"2800000","0","0"
"039LQMTGRMS","QPL","Queens Borough Public Library",,"60000","0","0"
"850HL82HSS3","DDC","Department of Design and Construction","Fixed Asset","0","0","0"
"846P-217PDGT","DPR","Department of Parks and Recreation","Fixed Asset","-19000","0.00","401178.65"
"850HH112CTFS","DDC","Department of Design and Construction","Fixed Asset","3045000","71319.61","406640.19"
"039LQGL-RES","QPL","Queens Borough Public Library",,"1000000","0","0"
"039LQNN_26","QPL","Queens Borough Public Library",,"0","0","0"
"039LQNO-CCTV","QPL","Queens Borough Public Library",,"0","0","0"
"039LQPHRS-23","QPL","Queens Borough Public Library",,"300000","0","0"
"126PV176BLR2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0","0"
"126PV176BZV2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","1000","2199000","0"
"126PV176COGN","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0","0"
"126PV187-SI4","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","120000","112000","0"
"126PV197-AV1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","65000","0.00","59644.35"
"126PV204AUD1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","295000","0","0"
"126PV204ICOM","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","274000","0","0"
"126PV204-IT2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","462000","0","0"
"126PV204JLC6","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","471000","0","0"
"126PV204JLC7","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","400000","0","0"
"126PV205NBGM","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","150000","0","0"
"125HAM14CRSR","DFTA","Department for the Aging","Fixed Asset","100000","0","0"
"035LRCE12DOT","NYRL","New York Research Libraries",,"0","0","0"
"846P-411C567","DPR","Department of Parks and Recreation","Fixed Asset","704000","0.00","13718953.95"
"035L21FREEZE","NYRL","New York Research Libraries",,"393000","6600","0"
"850AGDJCCCON","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","145865"
"846P-5CLAYST","DPR","Department of Parks and Recreation","Fixed Asset","0","0","47900"
"846P-4FLBAY2","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","1444669.19"
"068CCRENOV","ACS","Administration for Children's Services","Fixed Asset","50000","0","0"
"035L26-CSWSS","NYRL","New York Research Libraries",,"133000","0","0"
"856PW293125D","DCAS","Department of Citywide Administrative Services","Fixed Asset","67984000","0","0"
"068CSCN007TC","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","250000","0","0"
"068HRC006KCH","ACS","Administration for Children's Services","Lump Sum","16000","0","0"
"042HS035-008","CUNY","City University of New York","ITT, Vehicles, and Equipment","40000","0","0"
"126PV180CLSS","DCLA","Department of Cultural Affairs","Fixed Asset","0","0","0"
"035LSYSWIDE","NYRL","New York Research Libraries",,"7332000","0","0"
"856PW293198X","DCAS","Department of Citywide Administrative Services","Fixed Asset","22742000","1711000","0"
"039LQQBH-RES","QPL","Queens Borough Public Library",,"2800000","0","0"
"846P-4VANDOH","DPR","Department of Parks and Recreation","Fixed Asset","8000","0.00","2550294.23"
"850HLQNLIJ04","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"827P-300HRP2","DSNY","Department of Sanitation","Fixed Asset","0","0","0"
"827S136-251V","DSNY","Department of Sanitation","Fixed Asset","-10000","0.02","4831841.26"
"827S136-264M","DSNY","Department of Sanitation","Fixed Asset","250000","1456094.24","5716547.43"
"846P-4VIETNA","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","2424652.84"
"850LNEA13MHU","DDC","Department of Design and Construction","Fixed Asset","835000","262861.47","4202768.27"
"850LNEA14VNT","DDC","Department of Design and Construction","Fixed Asset","2919000","1550292.30","2222112.10"
"850LNMA12TOT","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","4000","43.38","295091.78"
"037LN20BXBRS","NYPL","New York Public Library",,"98000","0","0"
"037LN20MNBRS","NYPL","New York Public Library",,"0","0","0"
"037LN20SIBRS","NYPL","New York Public Library",,"7000","0","0"
"037LN23RVDCP","NYPL","New York Public Library",,"1052000","0","0"
"068JJZROSSLB","ACS","Administration for Children's Services","Fixed Asset","100000","0.00","73058.01"
"068LUCILLE","ACS","Administration for Children's Services","Fixed Asset","57000","0","0"
"038LBM11GSSA","BPL","Brooklyn Public Library","Fixed Asset","0","0.00","3447279.11"
"801BNYINFRAW","BNY","Brooklyn Navy Yard","Fixed Asset","0","0.00","32388832.23"
"039LQDBRFFE","QPL","Queens Borough Public Library","ITT, Vehicles, and Equipment","67000","12798.47","191356.39"
"827S136-264Q","DSNY","Department of Sanitation","Fixed Asset","-372000","859380.13","2120663.95"
"850LNEA08MH2","DDC","Department of Design and Construction","Fixed Asset","14000","0.00","705469.46"
"037LNSYSBFFE","NYPL","New York Public Library",,"0","0","0"
"037LNSYSWIDE","NYPL","New York Public Library",,"142911000","0","0"
"038LBC19CHEL","BPL","Brooklyn Public Library",,"0","0","0"
"038LBC20BPFE","BPL","Brooklyn Public Library",,"0","15883.75","362651.09"
"038LBC21KHIT","BPL","Brooklyn Public Library",,"0","900","73566"
"042BX027-015","CUNY","City University of New York","Fixed Asset","425000","0.0","28859.8"
"801JAMSTPLZ","SBS","Department of Small Business Services","Fixed Asset","45897000","583921.33","2068856.96"
"827S136-383G","DSNY","Department of Sanitation","ITT, Vehicles, and Equipment","459000","2315328.41","6022375.68"
"827S136-424","DSNY","Department of Sanitation","Fixed Asset","53650000","15279383.30","3647803.34"
"827S136-437","DSNY","Department of Sanitation","Fixed Asset","2551000","4176882.74","5756439.19"
"827S136-464A","DSNY","Department of Sanitation","Fixed Asset","-177000","171958.57","3182247.06"
"827S136-464B","DSNY","Department of Sanitation","Fixed Asset","9843000","6852384.64","1975626.62"
"827S136-464E","DSNY","Department of Sanitation","Fixed Asset","450000","0","0"
"038LBENVELOP","BPL","Brooklyn Public Library",,"0","0","0"
"827S186-224","DSNY","Department of Sanitation","Fixed Asset","3155000","11279656.07","199166878.59"
"827S236-335A","DSNY","Department of Sanitation","Fixed Asset","0","0.00","556407.34"
"827SAND26MBS","DSNY","Department of Sanitation",,"4372000","25068.24","1002331.22"
"827SAND44BVR","DSNY","Department of Sanitation","Fixed Asset","6825000","479342.90","1001523.00"
"038LBM18NLOH","BPL","Brooklyn Public Library",,"51472000","0","0"
"038LBM20BHFE","BPL","Brooklyn Public Library",,"0","0.00","531927.48"
"038LBM20CNFE","BPL","Brooklyn Public Library",,"0","0","0"
"038LBM20SSFE","BPL","Brooklyn Public Library",,"0","0","0"
"038LBM22PCOH","BPL","Brooklyn Public Library",,"40046000","0","0"
"038LBM24ERPS","BPL","Brooklyn Public Library",,"0","0","4586329"
"038LBM25HLIF","BPL","Brooklyn Public Library",,"4230000","0","0"
"038LBM26CHOH","BPL","Brooklyn Public Library",,"0","0","0"
"038LBM26DROH","BPL","Brooklyn Public Library",,"0","0","0"
"038LBM26MROH","BPL","Brooklyn Public Library",,"0","0","0"
"038LBSHORTFL","BPL","Brooklyn Public Library",,"57891000","0","0"
"039LQBC-RES","QPL","Queens Borough Public Library",,"1800000","0","0"
"039LQCA19LHS","QPL","Queens Borough Public Library",,"150000","0","0"
"850RED-366","DDC","Department of Design and Construction","Fixed Asset","47087000","34257579.86","141241.93"
"850HL82PCRHL","DDC","Department of Design and Construction","Lump Sum","0","0","299922"
"039LQQV-TECH","QPL","Queens Borough Public Library",,"200000","0","0"
"056SANDCD1","NYPD","Police Department","Fixed Asset","720000","90468.8","405119.2"
"846P-311TJPK","DPR","Department of Parks and Recreation","ITT, Vehicles, and Equipment","0","0.0","666519.7"
"039LQSE-CCTV","QPL","Queens Borough Public Library",,"0","0","0"
"039LQSHORTFA","QPL","Queens Borough Public Library",,"738000","0","0"
"039LQSTW-RES","QPL","Queens Borough Public Library",,"2800000","0","0"
"039LQSTWSOLR","QPL","Queens Borough Public Library",,"150000","0","0"
"040IDA21COST","DOE","Department of Education",,"82255000","57900000","10600000"
"040OP23COST","DOE","Department of Education",,"1365000","1364000","0"
"040SANDYCOST","DOE","Department of Education",,"52691000","58661572","691044947"
"040SCAQ171","DOE","Department of Education",,"1443000","1443001","0"
"042ACECUN211","CUNY","City University of New York",,"26000","116375.35","3400.65"
"042ACECUN212","CUNY","City University of New York",,"420000","1886970.25","75910.75"
"042ACECUN213","CUNY","City University of New York",,"27000","105701.15","19965.85"
"042ACECUN214","CUNY","City University of New York",,"245000","1107276","31575"
"042ACECUN215","CUNY","City University of New York",,"26000","112599","3250"
"042ACECUN216","CUNY","City University of New York",,"195000","895445.45","11708.55"
"042BX040-017","CUNY","City University of New York",,"7235000","1038232.06","2831956.18"
"801HBPD200KA","SBS","Department of Small Business Services","Fixed Asset","0","0.00","6435161.70"
"042YC001-023","CUNY","City University of New York",,"1500000","1465048","0"
"042ENRGME001","CUNY","City University of New York","Fixed Asset","423000","0","0"
"856PW77X215","DCAS","Department of Citywide Administrative Services","Fixed Asset","2596000","0","0"
"056PO79-BMS","NYPD","Police Department",,"49658000","1","0"
"850SEK002351","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","23602000","62423.98","711696.01"
"816HL82CHELF","DOHMH","Department of Health and Mental Hygiene","Fixed Asset","27000","14834.73","992447.07"
"057F109FLUID","FDNY","Fire Department",,"142000","0","0"
"037LNXA11BXT","NYPL","New York Public Library","ITT, Vehicles, and Equipment","0","0","366661"
"816HL82LICEN","DOHMH","Department of Health and Mental Hygiene","ITT, Vehicles, and Equipment","3339000","0","3660600"
"850HL82RCHU1","DDC","Department of Design and Construction","Fixed Asset","0","0.00","5602106.35"
"038LBC17DRBR","BPL","Brooklyn Public Library","Fixed Asset","1659000","0","0"
"037LNRA17WNB","NYPL","New York Public Library","Fixed Asset","0","0","0"
"850HLDNMTS59","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","12000","646410","0"
"042BX001-021","CUNY","City University of New York",,"0","0","0"
"042CA004-021","CUNY","City University of New York",,"4613000","3157550","366950"
"816HL82MORHC","DOHMH","Department of Health and Mental Hygiene","Fixed Asset","20250000","0","0"
"816HL82CHRHC","DOHMH","Department of Health and Mental Hygiene","Fixed Asset","6112000","459504","0"
"856PWCN001","DCAS","Department of Citywide Administrative Services","Fixed Asset","68000","0","0"
"850HLDNPCARE","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"816HL82MOSQ","DOHMH","Department of Health and Mental Hygiene","ITT, Vehicles, and Equipment","206000","0.00","293915.56"
"042CA049-019","CUNY","City University of New York",,"175000","88692.99","2776371.01"
"042CA056-020","CUNY","City University of New York",,"250000","0","0"
"042CC001-021","CUNY","City University of New York",,"3000","101.8","96965.2"
"111PO-D185SI","UK","Unknown","ITT, Vehicles, and Equipment","0","0.00","45976.85"
"856PWD78415A","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","0","0"
"057F1-JFKDAS","FDNY","Fire Department",,"0","0","0"
"850HL98HSS","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
