channel,week,visits,signups,activated,subscribed
Organic Search,01,11629,5336,2592,1205
Paid Social,01,6350,1758,722,208
Email,01,3581,2130,1592,868
Referral,01,2878,1281,746,343
Partner,01,1695,625,278,105
Organic Search,02,11397,4933,2462,1042
Paid Social,02,6285,1739,658,173
Email,02,4183,2594,1721,996
Referral,02,2987,1585,891,405
Partner,02,1843,679,306,124
Organic Search,03,11933,5398,2913,1434
Paid Social,03,8006,2238,823,263
Email,03,3659,1952,1429,795
Referral,03,2805,1225,806,387
Partner,03,1996,731,331,138
Organic Search,04,10607,4341,2612,1195
Paid Social,04,6609,1686,624,200
Email,04,3653,2088,1547,851
Referral,04,3031,1542,1029,504
Partner,04,1811,696,319,113
Organic Search,05,10763,4053,2221,991
Paid Social,05,6729,1795,693,197
Email,05,4906,3098,1885,992
Referral,05,2362,1142,696,343
Partner,05,1958,734,353,125
Organic Search,06,11256,4952,2658,1185
Paid Social,06,7248,1976,816,237
Email,06,4661,2666,1678,970
Referral,06,3081,1509,985,479
Partner,06,1963,716,314,107
Organic Search,07,9835,3827,1973,940
Paid Social,07,6600,1855,677,200
Email,07,3709,2131,1312,682
Referral,07,2151,1154,727,376
Partner,07,2117,782,343,140
Organic Search,08,7851,3539,1982,864
Paid Social,08,8795,2549,968,306
Email,08,3296,1861,1117,600
Referral,08,2184,1011,614,348
Partner,08,1941,606,312,126
Organic Search,09,10318,4199,2056,867
Paid Social,09,8180,1995,810,227
Email,09,3582,2058,1229,611
Referral,09,2103,1143,618,312
Partner,09,2235,779,376,155
Organic Search,10,10070,4262,2172,847
Paid Social,10,6533,1894,638,185
Email,10,4443,2816,1706,881
Referral,10,2223,1035,650,299
Partner,10,1976,653,329,113
Organic Search,11,11134,4821,2354,1067
Paid Social,11,8645,2324,816,253
Email,11,4177,2526,1678,1016
Referral,11,2324,1150,780,350
Partner,11,1712,577,250,92
Organic Search,12,10577,3831,2337,987
Paid Social,12,6559,1778,749,209
Email,12,4968,3121,2086,1047
Referral,12,2577,1206,747,425
Partner,12,1898,599,252,87
