filing_date,form_type,status
2021-01-01,10-K,Filed
2021-01-01,10-Q,Filed
2021-01-01,8-K,Filed
2021-04-01,10-K,Filed
2021-04-01,10-Q,Filed
2021-04-01,8-K,Filed
2021-04-01,10-K,Filed
2021-07-01,10-K,Filed
2021-07-01,10-Q,Filed
2021-07-01,8-K,Filed
2021-07-01,10-K,Filed
2021-07-01,10-Q,Amended
2021-10-01,10-K,Filed
2021-10-01,10-Q,Filed
2021-10-01,8-K,Filed
2021-10-01,10-K,Filed
2021-10-01,10-Q,Amended
2021-10-01,8-K,Filed
2022-01-01,10-K,Filed
2022-01-01,10-Q,Filed
2022-01-01,8-K,Filed
2022-01-01,10-K,Filed
2022-01-01,10-Q,Amended
2022-01-01,8-K,Filed
2022-01-01,10-K,Filed
2022-04-01,10-K,Filed
2022-04-01,10-Q,Filed
2022-04-01,8-K,Filed
2022-04-01,10-K,Filed
2022-04-01,10-Q,Amended
2022-04-01,8-K,Filed
2022-04-01,10-K,Filed
2022-04-01,10-Q,Filed
2022-07-01,10-K,Filed
2022-07-01,10-Q,Filed
2022-07-01,8-K,Filed
2022-07-01,10-K,Filed
2022-07-01,10-Q,Amended
2022-07-01,8-K,Filed
2022-07-01,10-K,Filed
2022-07-01,10-Q,Filed
2022-07-01,8-K,Filed
2022-10-01,10-K,Filed
2022-10-01,10-Q,Filed
2022-10-01,8-K,Filed
2022-10-01,10-K,Filed
2022-10-01,10-Q,Amended
2022-10-01,8-K,Filed
2022-10-01,10-K,Filed
2022-10-01,10-Q,Filed
2022-10-01,8-K,Filed
2022-10-01,10-K,Amended
2023-01-01,10-K,Filed
2023-01-01,10-Q,Filed
2023-01-01,8-K,Filed
2023-01-01,10-K,Filed
2023-01-01,10-Q,Amended
2023-01-01,8-K,Filed
2023-01-01,10-K,Filed
2023-01-01,10-Q,Filed
2023-01-01,8-K,Filed
2023-01-01,10-K,Amended
2023-01-01,10-Q,Filed
2023-04-01,10-K,Filed
2023-04-01,10-Q,Filed
2023-04-01,8-K,Filed
2023-04-01,10-K,Filed
2023-04-01,10-Q,Amended
2023-04-01,8-K,Filed
2023-04-01,10-K,Filed
2023-04-01,10-Q,Filed
2023-04-01,8-K,Filed
2023-04-01,10-K,Amended
2023-04-01,10-Q,Filed
2023-04-01,8-K,Filed
2023-07-01,10-K,Filed
2023-07-01,10-Q,Filed
2023-07-01,8-K,Filed
2023-07-01,10-K,Filed
2023-07-01,10-Q,Amended
2023-07-01,8-K,Filed
2023-07-01,10-K,Filed
2023-07-01,10-Q,Filed
2023-07-01,8-K,Filed
2023-07-01,10-K,Amended
2023-07-01,10-Q,Filed
2023-07-01,8-K,Filed
2023-07-01,10-K,Filed
2023-10-01,10-K,Filed
2023-10-01,10-Q,Filed
2023-10-01,8-K,Filed
2023-10-01,10-K,Filed
2023-10-01,10-Q,Amended
2023-10-01,8-K,Filed
2023-10-01,10-K,Filed
2023-10-01,10-Q,Filed
2023-10-01,8-K,Filed
2023-10-01,10-K,Amended
2023-10-01,10-Q,Filed
2023-10-01,8-K,Filed
2023-10-01,10-K,Filed
2023-10-01,10-Q,Filed
