date,open,high,low,close,volume
2025-01-01,100.0,100.61,99.27,99.54,1010570
2025-01-02,99.54,99.82,98.66,98.97,974443
2025-01-03,98.97,101.14,98.5,100.84,869139
2025-01-06,100.84,101.46,100.29,101.17,613513
2025-01-07,101.17,103.26,97.06,98.13,1569843
2025-01-08,98.13,100.4,96.6,97.29,697803
2025-01-09,97.29,98.31,96.49,97.84,559522
2025-01-10,97.84,102.42,97.0,100.93,802944
2025-01-13,100.93,101.06,99.55,100.31,1194107
2025-01-14,100.31,101.7,99.86,100.76,1073663
2025-01-15,100.76,101.05,98.79,99.31,640002
2025-01-16,99.31,100.61,95.96,96.62,1441424
2025-01-17,96.62,97.61,95.84,96.43,861015
2025-01-20,96.43,96.46,95.63,96.32,950983
2025-01-21,96.32,99.35,96.18,98.91,1441856
2025-01-22,98.91,99.64,94.87,96.58,1084849
2025-01-23,96.58,97.21,93.29,94.83,932104
2025-01-24,94.83,95.05,90.81,91.18,1220894
2025-01-27,91.18,94.2,87.33,87.76,819955
2025-01-28,87.76,87.88,86.21,86.43,916353
2025-01-29,86.43,87.4,84.52,86.87,494262
2025-01-30,86.87,88.01,85.68,87.99,1436705
2025-01-31,87.99,90.34,85.62,89.71,1370485
2025-02-03,89.71,90.34,87.84,88.57,857426
2025-02-04,88.57,90.5,85.54,86.21,553796
2025-02-05,86.21,86.31,85.07,85.94,945902
2025-02-06,85.94,86.43,83.5,84.75,798952
2025-02-07,84.75,87.51,83.54,84.79,1206926
2025-02-10,84.79,84.96,82.13,82.31,1472406
2025-02-11,82.31,82.77,79.37,81.77,1343298
2025-02-12,81.77,82.53,79.0,80.36,409054
2025-02-13,80.36,82.65,80.02,81.9,536125
2025-02-14,81.9,82.24,80.9,81.59,458859
2025-02-17,81.59,81.77,81.38,81.59,1440402
2025-02-18,81.59,82.03,80.8,80.82,792487
2025-02-19,80.82,84.15,79.19,82.48,1591240
2025-02-20,82.48,82.77,79.98,80.46,765147
2025-02-21,80.46,81.1,78.21,80.89,535027
2025-02-24,80.89,85.69,80.22,85.26,1019828
2025-02-25,85.26,86.71,84.83,85.08,1572696
2025-02-26,85.08,88.3,85.0,86.9,542143
2025-02-27,86.9,88.82,85.43,88.61,1319399
2025-02-28,88.61,89.36,86.69,88.0,1412838
2025-03-03,88.0,88.76,81.09,83.17,1269638
2025-03-04,83.17,84.92,82.99,83.49,365480
2025-03-05,83.49,84.0,82.57,83.83,1209502
2025-03-06,83.83,86.07,80.54,85.72,1542850
2025-03-07,85.72,86.28,83.02,83.65,618094
2025-03-10,83.65,84.82,81.82,84.05,1397353
2025-03-11,84.05,85.79,81.11,81.34,1345547
2025-03-12,81.34,84.51,79.57,83.62,1282678
2025-03-13,83.62,84.36,81.83,81.93,1332201
2025-03-14,81.93,83.8,79.14,80.33,839761
2025-03-17,80.33,82.15,79.37,80.01,545904
2025-03-18,80.01,81.22,78.21,80.73,515641
2025-03-19,80.73,82.28,75.91,78.89,1164730
2025-03-20,78.89,80.11,77.41,77.55,1563030
2025-03-21,77.55,78.64,76.36,77.77,1515703
2025-03-24,77.77,78.76,74.06,74.44,649830
2025-03-25,74.44,74.67,72.48,73.34,1074775
2025-03-26,73.34,74.58,71.44,73.23,779305
2025-03-27,73.23,77.66,72.81,76.12,1478456
2025-03-28,76.12,77.41,71.11,72.59,994853
2025-03-31,72.59,73.87,72.42,72.57,562547
2025-04-01,72.57,75.85,71.93,75.79,1250995
2025-04-02,75.79,78.59,75.42,77.59,988302
2025-04-03,77.59,78.31,73.42,74.63,645587
2025-04-04,74.63,76.4,72.6,76.06,974796
2025-04-07,76.06,76.82,72.13,73.24,1107910
2025-04-08,73.24,74.68,72.17,72.22,1209768
2025-04-09,72.22,72.66,67.27,70.1,1218006
2025-04-10,70.1,72.74,68.09,70.69,659682
2025-04-11,70.69,71.74,66.33,66.68,484459
2025-04-14,66.68,67.11,65.69,65.85,635611
2025-04-15,65.85,69.04,65.31,68.25,526147
2025-04-16,68.25,68.62,62.78,64.5,511583
2025-04-17,64.5,70.1,63.94,67.99,835786
2025-04-18,67.99,75.98,67.7,72.36,1387204
2025-04-21,72.36,74.45,71.27,73.37,578595
2025-04-22,73.37,74.17,71.46,73.21,354743
2025-04-23,73.21,73.64,70.31,71.38,1122387
2025-04-24,71.38,72.0,71.34,71.56,1581055
2025-04-25,71.56,75.82,70.81,72.71,380277
2025-04-28,72.71,73.74,71.77,73.57,494535
2025-04-29,73.57,74.81,69.68,70.07,519697
2025-04-30,70.07,71.44,68.05,68.81,1219530
2025-05-01,68.81,69.55,68.33,69.33,421965
2025-05-02,69.33,70.91,66.94,67.58,1348068
2025-05-05,67.58,71.83,65.39,70.65,906292
2025-05-06,70.65,72.91,69.36,72.1,1506869
2025-05-07,72.1,72.73,71.12,72.0,469003
2025-05-08,72.0,72.2,71.45,71.77,586245
2025-05-09,71.77,72.72,71.13,71.19,965112
2025-05-12,71.19,71.68,68.71,69.7,353067
2025-05-13,69.7,69.91,69.54,69.7,570609
2025-05-14,69.7,72.47,67.0,67.44,464977
2025-05-15,67.44,69.4,65.16,68.24,829219
2025-05-16,68.24,70.18,68.16,68.35,1577699
2025-05-19,68.35,70.24,66.02,66.48,843966
2025-05-20,66.48,66.71,63.68,64.01,494869
2025-05-21,64.01,67.53,63.99,66.68,437295
2025-05-22,66.68,69.07,64.65,67.76,1181589
2025-05-23,67.76,68.63,67.13,67.49,530066
2025-05-26,67.49,70.3,67.18,69.41,1551468
2025-05-27,69.41,71.9,69.31,71.65,723125
2025-05-28,71.65,76.35,71.6,76.32,814665
2025-05-29,76.32,76.54,73.79,74.22,336287
2025-05-30,74.22,76.3,73.7,76.25,837379
2025-06-02,76.25,76.69,75.96,76.62,1073690
2025-06-03,76.62,79.82,76.26,77.86,1165080
2025-06-04,77.86,80.27,76.25,77.07,1580605
2025-06-05,77.07,79.23,75.52,78.09,1146888
2025-06-06,78.09,82.0,76.78,81.38,1261992
2025-06-09,81.38,81.64,79.19,79.8,995171
2025-06-10,79.8,79.86,75.62,76.38,1071758
2025-06-11,76.38,77.8,72.08,73.21,1210524
2025-06-12,73.21,73.57,72.45,73.27,463243
2025-06-13,73.27,75.32,71.95,74.53,1127264
2025-06-16,74.53,75.82,72.52,72.62,1343075
2025-06-17,72.62,72.65,71.2,72.63,1009703
2025-06-18,72.63,73.01,72.2,72.27,424551
2025-06-19,72.27,72.46,68.97,70.91,590626
2025-06-20,70.91,74.17,69.41,70.59,938342
2025-06-23,70.59,71.49,68.72,70.66,1113557
2025-06-24,70.66,71.04,69.66,70.21,1273885
2025-06-25,70.21,71.83,68.74,71.31,345835
2025-06-26,71.31,72.98,70.44,72.63,1188148
2025-06-27,72.63,73.0,68.79,70.19,920121
2025-06-30,70.19,70.32,68.68,69.31,1572219
2025-07-01,69.31,69.52,68.48,68.57,912892
2025-07-02,68.57,73.43,67.66,70.58,596493
2025-07-03,70.58,71.8,70.3,71.02,1068469
2025-07-04,71.02,73.54,70.41,72.4,1371675
2025-07-07,72.4,74.9,71.98,72.12,1223238
2025-07-08,72.12,75.11,71.85,72.57,334559
2025-07-09,72.57,73.91,72.5,72.6,713477
2025-07-10,72.6,74.5,71.68,73.65,332211
2025-07-11,73.65,76.82,71.36,76.8,482452
2025-07-14,76.8,80.2,76.0,79.35,802721
2025-07-15,79.35,82.79,75.74,78.49,1078254
2025-07-16,78.49,79.46,77.21,77.27,459171
2025-07-17,77.27,78.33,76.42,77.83,1518199
2025-07-18,77.83,78.78,77.05,77.83,804153
2025-07-21,77.83,80.23,77.07,77.75,1361192
2025-07-22,77.75,79.7,73.63,75.04,1243857
2025-07-23,75.04,76.9,73.62,74.22,902592
2025-07-24,74.22,75.98,74.13,74.26,1507006
2025-07-25,74.26,75.76,73.29,74.81,766451
2025-07-28,74.81,76.69,73.02,73.94,1163114
2025-07-29,73.94,74.42,72.28,73.73,830847
2025-07-30,73.73,74.88,73.05,74.27,961286
2025-07-31,74.27,78.53,71.7,78.04,1595523
2025-08-01,78.04,78.25,76.92,77.1,764283
2025-08-04,77.1,78.58,76.62,77.84,658114
2025-08-05,77.84,78.9,74.43,74.43,855632
2025-08-06,74.43,75.59,72.4,72.57,759517
