county_fips,county,state,incident_type,severity
39001,"Adams County, OH",OH,Road obstruction,Minor
39001,"Adams County, OH",OH,Downed line,Minor
39001,"Adams County, OH",OH,Water main,Minor
39001,"Adams County, OH",OH,Signal outage,Minor
39001,"Adams County, OH",OH,Debris,Minor
39001,"Adams County, OH",OH,Flooding,Minor
39001,"Adams County, OH",OH,Road obstruction,Moderate
39001,"Adams County, OH",OH,Downed line,Moderate
39001,"Adams County, OH",OH,Water main,Moderate
39001,"Adams County, OH",OH,Signal outage,Moderate
39001,"Adams County, OH",OH,Debris,Moderate
39001,"Adams County, OH",OH,Flooding,Moderate
39001,"Adams County, OH",OH,Road obstruction,Severe
39001,"Adams County, OH",OH,Downed line,Severe
39001,"Adams County, OH",OH,Water main,Severe
39001,"Adams County, OH",OH,Signal outage,Severe
39001,"Adams County, OH",OH,Debris,Severe
39001,"Adams County, OH",OH,Flooding,Severe
39001,"Adams County, OH",OH,Road obstruction,Minor
39001,"Adams County, OH",OH,Downed line,Minor
39001,"Adams County, OH",OH,Water main,Minor
39001,"Adams County, OH",OH,Signal outage,Minor
39001,"Adams County, OH",OH,Debris,Minor
39001,"Adams County, OH",OH,Flooding,Minor
39001,"Adams County, OH",OH,Road obstruction,Moderate
39001,"Adams County, OH",OH,Downed line,Moderate
39001,"Adams County, OH",OH,Water main,Moderate
39001,"Adams County, OH",OH,Signal outage,Moderate
39001,"Adams County, OH",OH,Debris,Moderate
39001,"Adams County, OH",OH,Flooding,Moderate
39001,"Adams County, OH",OH,Road obstruction,Severe
39001,"Adams County, OH",OH,Downed line,Severe
39001,"Adams County, OH",OH,Water main,Severe
39001,"Adams County, OH",OH,Signal outage,Severe
39001,"Adams County, OH",OH,Debris,Severe
39001,"Adams County, OH",OH,Flooding,Severe
39001,"Adams County, OH",OH,Road obstruction,Minor
39001,"Adams County, OH",OH,Downed line,Minor
39001,"Adams County, OH",OH,Water main,Minor
39001,"Adams County, OH",OH,Signal outage,Minor
39001,"Adams County, OH",OH,Debris,Minor
39001,"Adams County, OH",OH,Flooding,Minor
39001,"Adams County, OH",OH,Road obstruction,Moderate
39001,"Adams County, OH",OH,Downed line,Moderate
39001,"Adams County, OH",OH,Water main,Moderate
39001,"Adams County, OH",OH,Signal outage,Moderate
39001,"Adams County, OH",OH,Debris,Moderate
39001,"Adams County, OH",OH,Flooding,Moderate
39001,"Adams County, OH",OH,Road obstruction,Severe
39001,"Adams County, OH",OH,Downed line,Severe
39001,"Adams County, OH",OH,Water main,Severe
39001,"Adams County, OH",OH,Signal outage,Severe
39001,"Adams County, OH",OH,Debris,Severe
39001,"Adams County, OH",OH,Flooding,Severe
39001,"Adams County, OH",OH,Road obstruction,Minor
39001,"Adams County, OH",OH,Downed line,Minor
39001,"Adams County, OH",OH,Water main,Minor
39001,"Adams County, OH",OH,Signal outage,Minor
39003,"Allen County, OH",OH,Road obstruction,Minor
39003,"Allen County, OH",OH,Downed line,Minor
39003,"Allen County, OH",OH,Water main,Minor
39003,"Allen County, OH",OH,Signal outage,Minor
39003,"Allen County, OH",OH,Debris,Minor
39003,"Allen County, OH",OH,Flooding,Minor
39003,"Allen County, OH",OH,Road obstruction,Moderate
39003,"Allen County, OH",OH,Downed line,Moderate
39003,"Allen County, OH",OH,Water main,Moderate
39003,"Allen County, OH",OH,Signal outage,Moderate
39003,"Allen County, OH",OH,Debris,Moderate
39003,"Allen County, OH",OH,Flooding,Moderate
