contact_date,county,state,gender,age_range,level_1_classification,needs_met
2023-09-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,F,25 to 44,Criminal Justice and Legal Services,t
2023-09-22,Allegheny County,PA,F,25 to 44,Criminal Justice and Legal Services,t
2023-09-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-22,Allegheny County,PA,M,25 to 44,Consumer Services,t
2023-09-22,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-09-22,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-09-22,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-09-22,Beaver County,PA,F,45 to 64,Basic Needs,f
2023-09-22,Beaver County,PA,F,45 to 64,Income Support and Employment,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,18 to 24,Basic Needs,t
2023-09-22,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Potter County,PA,,25 to 44,Basic Needs,t
2023-09-22,Potter County,PA,,25 to 44,Basic Needs,t
2023-09-22,Washington County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Washington County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Washington County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Washington County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Washington County,PA,F,25 to 44,Basic Needs,t
2023-09-22,Washington County,PA,F,25 to 44,Consumer Services,t
2023-09-22,Washington County,PA,F,25 to 44,Environment and Public Health/Safety,f
2023-09-25,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-25,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-25,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-25,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-25,Allegheny County,PA,F,18 to 24,Income Support and Employment,t
2023-09-25,Allegheny County,PA,F,18 to 24,Individual and Family Life,t
2023-09-25,Allegheny County,PA,F,18 to 24,Individual and Family Life,t
2023-09-25,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-25,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-25,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-25,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-25,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-25,Cambria County,PA,F,18 to 24,Basic Needs,t
2023-09-25,Cambria County,PA,F,18 to 24,Basic Needs,t
2023-09-25,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-25,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-25,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-25,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-25,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-25,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-25,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-25,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-25,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-25,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-25,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-25,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-25,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-26,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-26,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Allegheny County,PA,F,45 to 64,Basic Needs,t
