field,value,count,percentage,rank
Unique Key,<ALL_UNIQUE>,1000000,100,1
Created Date,01/24/2013 12:00:00 AM,347,0.0347,1
Created Date,01/07/2014 12:00:00 AM,315,0.0315,2
Created Date,01/08/2015 12:00:00 AM,283,0.0283,3
Created Date,02/16/2015 12:00:00 AM,269,0.0269,4
Created Date,11/25/2013 12:00:00 AM,259,0.0259,5
Created Date,01/08/2014 12:00:00 AM,247,0.0247,6
Created Date,01/07/2015 12:00:00 AM,241,0.0241,7
Created Date,01/04/2012 12:00:00 AM,240,0.024,8
Created Date,01/04/2010 12:00:00 AM,235,0.0235,9
Created Date,01/23/2014 12:00:00 AM,231,0.0231,10
Created Date,"Other (841,004)",997333,99.7333,0
Closed Date,(NULL),28619,2.8619,1
Closed Date,11/15/2010 12:00:00 AM,384,0.0384,2
Closed Date,11/07/2012 12:00:00 AM,329,0.0329,3
Closed Date,12/09/2010 12:00:00 AM,267,0.0267,4
Closed Date,01/28/2013 12:00:00 AM,259,0.0259,5
Closed Date,01/09/2014 12:00:00 AM,255,0.0255,6
Closed Date,11/28/2011 12:00:00 AM,254,0.0254,7
Closed Date,01/06/2014 12:00:00 AM,252,0.0252,8
Closed Date,02/28/2011 12:00:00 AM,245,0.0245,9
Closed Date,11/08/2010 12:00:00 AM,239,0.0239,10
Closed Date,"Other (688,827)",968897,96.8897,0
Agency,NYPD,265116,26.5116,1
Agency,HPD,258033,25.8033,2
Agency,DOT,132462,13.2462,3
Agency,DSNY,81606,8.1606,4
Agency,DEP,75895,7.5895,5
Agency,DOB,51806,5.1806,6
Agency,DPR,45581,4.5581,7
Agency,DOHMH,25138,2.5138,8
Agency,DOF,20691,2.0691,9
Agency,TLC,11402,1.1402,10
Agency,Other (18),32270,3.227,0
Agency Name,New York City Police Department,265038,26.5038,1
Agency Name,Department of Housing Preservation and Development,258019,25.8019,2
Agency Name,Department of Transportation,132462,13.2462,3
Agency Name,Department of Environmental Protection,75895,7.5895,4
Agency Name,Department of Buildings,50649,5.0649,5
Agency Name,Department of Parks and Recreation,45580,4.558,6
Agency Name,Department of Health and Mental Hygiene,25001,2.5001,7
Agency Name,Department of Sanitation,22701,2.2701,8
Agency Name,Taxi and Limousine Commission,11187,1.1187,9
Agency Name,Department of Consumer Affairs,9494,0.9494,10
Agency Name,Other (543),103974,10.3974,0
Complaint Type,Noise - Residential,89439,8.9439,1
Complaint Type,HEAT/HOT WATER,56639,5.6639,2
Complaint Type,Illegal Parking,45032,4.5032,3
Complaint Type,Blocked Driveway,42356,4.2356,4
Complaint Type,Street Condition,41469,4.1469,5
Complaint Type,Street Light Condition,39856,3.9856,6
Complaint Type,HEATING,35738,3.5738,7
Complaint Type,PLUMBING,30209,3.0209,8
Complaint Type,Water System,28195,2.8195,9
Complaint Type,Noise - Street/Sidewalk,27506,2.7506,10
Complaint Type,Other (277),563561,56.3561,0
Descriptor,Loud Music/Party,93646,9.3646,1
Descriptor,ENTIRE BUILDING,36885,3.6885,2
Descriptor,HEAT,35088,3.5088,3
Descriptor,No Access,31631,3.1631,4
Descriptor,Street Light Out,29659,2.9659,5
Descriptor,Pothole,25010,2.501,6
Descriptor,Banging/Pounding,24553,2.4553,7
Descriptor,APARTMENT ONLY,19754,1.9754,8
Descriptor,Loud Talking,14553,1.4553,9
Descriptor,CEILING,14350,1.435,10
Descriptor,"Other (1,382)",674871,67.4871,0
Location Type,RESIDENTIAL BUILDING,255562,25.5562,1
Location Type,(NULL),239131,23.9131,2
Location Type,Street/Sidewalk,145653,14.5653,3
Location Type,Residential Building/House,92765,9.2765,4
Location Type,Street,92190,9.219,5
Location Type,Sidewalk,63250,6.325,6
Location Type,Store/Commercial,12798,1.2798,7
Location Type,Property Address,8497,0.8497,8
Location Type,Club/Bar/Restaurant,8303,0.8303,9
Location Type,Park,7078,0.7078,10
Location Type,Other (152),74773,7.4773,0
Incident Zip,(NULL),54978,5.4978,1
Incident Zip,11226,17114,1.7114,2
Incident Zip,10467,14495,1.4495,3
Incident Zip,11207,12872,1.2872,4
